Sno,Order Id,Order Date,Delivery Status,Payment Method,Source,Amount,Rejection Reason,,,,,,
1,1412149110,"03:02 AM, October 30 2018",Delivered,Online,Zomato,₹140,,,,,,,
2,1228222352,"02:03 AM, October 30 2018",Delivered,Online,Zomato,₹130,,,,,,,
3,1483386454,"01:38 AM, October 30 2018",Delivered,Online,Zomato,₹180,,,,,,,
4,1098400119,"01:25 AM, October 30 2018",Rejected,COD,Zomato,₹416,Food not delivered,,,,,,
5,1296484389,"01:53 AM, October 29 2018",Delivered,COD,Zomato,₹735,,,,,,,
6,1471693365,"01:40 AM, October 29 2018",Delivered,Online,Zomato,₹230,,,,,,,
7,1656388633,"01:15 AM, October 29 2018",Delivered,COD,Zomato,₹150,,,,,,,
8,1035920147,"01:13 AM, October 29 2018",Rejected,COD,Zomato,₹185,Customer non-responsive | 60% of order amount will be refunded,,,,,,
9,1397192812,"12:58 AM, October 29 2018",Delivered,Online,Zomato,₹135,,,,,,,
10,1628928835,"12:57 AM, October 29 2018",Delivered,Online,Zomato,₹273,,,,,,,
11,1690971836,"09:21 PM, October 28 2018",Delivered,COD,Zomato,₹136,,,,,,,
12,1286523161,"02:14 AM, October 28 2018",Rejected,COD,Zomato,₹130,Customer non-responsive | 60% of order amount will be refunded,,,,,,
13,1152475739,"01:06 AM, October 28 2018",Delivered,COD,Zomato,₹136,,,,,,,
14,1681392244,"01:04 AM, October 28 2018",Delivered,COD,Zomato,₹180,,,,,,,
15,1402483660,"12:37 AM, October 28 2018",Delivered,COD,Zomato,₹226,,,,,,,47194
16,1614899619,"12:11 AM, October 28 2018",Delivered,COD,Zomato,₹242,,,,,,,
17,1226220406,"10:37 PM, October 27 2018",Delivered,Online,Zomato,₹180,,,,,,,2016
18,1386209895,"09:09 PM, October 27 2018",Delivered,Online,Zomato,₹280,,,,,,,
19,1573231358,"03:45 AM, October 27 2018",Delivered,Online,Zomato,₹150,,,1106,,,,45178
20,1686353546,"02:45 AM, October 27 2018",Delivered,Online,Zomato,₹156,,,335,,,,
21,1576906978,"02:34 AM, October 27 2018",Delivered,COD,Zomato,₹160,,,,,,,44911
22,1599675597,"02:27 AM, October 27 2018",Delivered,Online,Zomato,₹264,,,,,,,
23,1248861571,"02:23 AM, October 27 2018",Delivered,Online,Zomato,₹130,,,,,,,847
24,1370739462,"01:45 AM, October 27 2018",Delivered,COD,Zomato,₹214,,,,,,,
25,1226162395,"12:31 AM, October 27 2018",Delivered,Online,Zomato,₹130,,,,,,,
26,1057879236,"08:52 PM, October 26 2018",Delivered,Online,Zomato,₹278,,,,,,,
27,1274210768,"03:24 AM, October 26 2018",Delivered,COD,Zomato,₹217,,,,,,,
28,1606844228,"02:48 AM, October 26 2018",Delivered,Online,Zomato,₹350,,,,,,,
29,1371163660,"02:34 AM, October 26 2018",Rejected,COD,Zomato,₹180,Customer non-responsive | 60% of order amount will be refunded,,,,,,
30,1251267668,"02:17 AM, October 26 2018",Delivered,Online,Zomato,₹140,,,,,,,
31,1319420297,"02:13 AM, October 26 2018",Delivered,Online,Zomato,₹430,,,,,,,
32,1027549144,"02:04 AM, October 26 2018",Rejected,COD,Zomato,₹320,Customer non-responsive | 60% of order amount will be refunded,,,,,,
33,1344391683,"01:36 AM, October 26 2018",Delivered,Online,Zomato,₹130,,,,,,,
34,1560952305,"01:29 AM, October 26 2018",Delivered,Online,Zomato,₹150,,,,,,,
35,1327633150,"01:23 AM, October 26 2018",Delivered,Online,Zomato,₹1980,,,,,,,
36,1458506592,"01:21 AM, October 26 2018",Delivered,Online,Zomato,₹270,,,,,,,
37,1236458045,"01:14 AM, October 26 2018",Delivered,Online,Zomato,₹145,,,,,,,
38,1454806959,"12:18 AM, October 26 2018",Delivered,Online,Zomato,₹450,,,,,,,
39,1471523030,"12:16 AM, October 26 2018",Delivered,COD,Zomato,₹150,,,,,,,
40,1463239426,"12:12 AM, October 26 2018",Delivered,COD,Zomato,₹168,,,,,,,
41,1600860439,"12:04 AM, October 26 2018",Delivered,Online,Zomato,₹312,,,,,,,
42,1364308702,"11:38 PM, October 25 2018",Delivered,Online,Zomato,₹150,,,,,,,
43,1140311250,"03:27 AM, October 25 2018",Delivered,Online,Zomato,₹130,,,,,,,
44,1359952679,"02:36 AM, October 25 2018",Delivered,Online,Zomato,₹156,,,,,,,
45,1369501548,"02:28 AM, October 25 2018",Delivered,COD,Zomato,₹126,,,,,,,
46,1048393365,"12:55 AM, October 25 2018",Delivered,Online,Zomato,₹175,,,,,,,
47,1048777576,"12:43 AM, October 25 2018",Delivered,COD,Zomato,₹160,,,,,,,
48,1307669143,"12:42 AM, October 25 2018",Delivered,COD,Zomato,₹420,,,,,,,
49,1654312373,"12:10 AM, October 25 2018",Delivered,COD,Zomato,₹150,,,,,,,
50,1111000466,"03:26 AM, October 24 2018",Delivered,Online,Zomato,₹132,,,,,,,
51,1354312815,"02:51 AM, October 24 2018",Delivered,Online,Zomato,₹202,,,,,,,
52,1273383528,"02:28 AM, October 24 2018",Delivered,COD,Zomato,₹132,,,,,,,
53,1157487642,"02:10 AM, October 24 2018",Delivered,Online,Zomato,₹178,,,,,,,
54,1443524224,"01:03 AM, October 24 2018",Delivered,Online,Zomato,₹160,,,,,,,
55,1593266026,"12:47 AM, October 24 2018",Delivered,Online,Zomato,₹188,,,,,,,
56,1204740270,"12:13 AM, October 24 2018",Delivered,COD,Zomato,₹350,,,,,,,
57,1258095069,"12:11 AM, October 24 2018",Delivered,Online,Zomato,₹124,,,,,,,
58,1444637264,"03:13 AM, October 23 2018",Delivered,COD,Zomato,₹170,,,,,,,
59,1159507491,"01:40 AM, October 23 2018",Delivered,COD,Zomato,₹150,,,,,,,
60,1301966896,"01:23 AM, October 23 2018",Delivered,COD,Zomato,₹250,,,,,,,
61,1018500097,"01:17 AM, October 23 2018",Delivered,Online,Zomato,₹190,,,,,,,
62,1486748645,"01:16 AM, October 23 2018",Delivered,Online,Zomato,₹145,,,,,,,
63,1208914766,"12:59 AM, October 23 2018",Delivered,COD,Zomato,₹382,,,,,,,
64,1079542616,"12:35 AM, October 23 2018",Delivered,COD,Zomato,₹132,,,,,,,
65,1061824136,"12:33 AM, October 23 2018",Delivered,COD,Zomato,₹135,,,,,,,
66,1115400465,"12:22 AM, October 23 2018",Delivered,COD,Zomato,₹250,,,,,,,
67,1348622931,"12:21 AM, October 23 2018",Delivered,COD,Zomato,₹170,,,,,,,
68,1274337603,"03:44 AM, October 22 2018",Delivered,Online,Zomato,₹288,,,,,,,
69,1034115273,"03:15 AM, October 22 2018",Rejected,COD,Zomato,₹397,Food not delivered,,,,,,
70,1580774277,"02:50 AM, October 22 2018",Delivered,Online,Zomato,₹124,,,,,,,
71,1641877618,"02:45 AM, October 22 2018",Delivered,COD,Zomato,₹185,,,,,,,
72,1124722172,"02:12 AM, October 22 2018",Delivered,COD,Zomato,₹145,,,,,,,
73,1679457856,"01:16 AM, October 22 2018",Delivered,Online,Zomato,₹190,,,,,,,
74,1356201742,"01:08 AM, October 22 2018",Delivered,Online,Zomato,₹430,,,,,,,
75,1125527951,"01:06 AM, October 22 2018",Delivered,Online,Zomato,₹152,,,,,,,
76,1114116271,"12:16 AM, October 22 2018",Delivered,Online,Zomato,₹182,,,,,,,
77,1135285446,"02:21 AM, October 21 2018",Rejected,COD,Zomato,₹228,Food not delivered,,,,,,
78,1469495333,"02:12 AM, October 21 2018",Delivered,COD,Zomato,₹240,,,,,,,
79,1065691200,"02:01 AM, October 21 2018",Delivered,Online,Zomato,₹200,,,,,,,
80,1457421100,"01:14 AM, October 21 2018",Delivered,Online,Zomato,₹190,,,,,,,
81,1381601505,"01:07 AM, October 21 2018",Rejected,COD,Zomato,₹276,Food not delivered,,,,,,
82,1122353524,"12:36 AM, October 21 2018",Delivered,Online,Zomato,₹168,,,,,,,
83,1249469308,"12:13 AM, October 21 2018",Delivered,COD,Zomato,₹540,,,,,,,
84,1671855790,"03:33 AM, October 20 2018",Delivered,COD,Zomato,₹129,,,,,,,
85,1402155347,"02:31 AM, October 20 2018",Delivered,COD,Zomato,₹265,,,,,,,
86,1344005906,"02:24 AM, October 20 2018",Delivered,COD,Zomato,₹130,,,,,,,
87,1529077367,"02:15 AM, October 20 2018",Delivered,COD,Zomato,₹364,,,,,,,
88,1660324560,"01:54 AM, October 20 2018",Delivered,COD,Zomato,₹190,,,,,,,
89,1526418466,"12:57 AM, October 20 2018",Rejected,COD,Zomato,₹284,Customer non-responsive | 60% of order amount will be refunded,,,,,,
90,1523794818,"12:57 AM, October 20 2018",Delivered,COD,Zomato,₹150,,,,,,,
91,1138473163,"11:19 PM, October 19 2018",Delivered,COD,Zomato,₹300,,,,,,,
92,1347320760,"11:07 PM, October 19 2018",Delivered,COD,Zomato,₹130,,,,,,,
93,1093241170,"11:07 PM, October 19 2018",Delivered,COD,Zomato,₹130,,,,,,,
94,1405490680,"10:10 PM, October 19 2018",Delivered,COD,Zomato,₹130,,,,,,,
95,1340890597,"10:01 PM, October 19 2018",Delivered,COD,Zomato,₹170,,,,,,,
96,1286143020,"09:52 PM, October 19 2018",Delivered,COD,Zomato,₹160,,,,,,,
97,1495548047,"09:47 PM, October 19 2018",Delivered,COD,Zomato,₹746,,,,,,,
98,1083894518,"03:13 AM, October 19 2018",Delivered,COD,Zomato,₹375,,,,,,,
99,1149226356,"02:47 AM, October 19 2018",Rejected,COD,Zomato,₹150,Food not delivered,,,,,,
100,1686268883,"12:51 AM, October 19 2018",Delivered,COD,Zomato,₹198,,,,,,,
101,1481842431,"12:46 AM, October 19 2018",Delivered,COD,Zomato,₹152,,,,,,,
102,1207031051,"12:33 AM, October 19 2018",Delivered,COD,Zomato,₹177,,,,,,,
103,1481852999,"03:52 AM, October 18 2018",Delivered,COD,Zomato,₹152,,,,,,,
104,1107153765,"03:49 AM, October 18 2018",Delivered,COD,Zomato,₹275,,,,,,,
105,1138830719,"03:44 AM, October 18 2018",Delivered,COD,Zomato,₹218,,,,,,,
106,1657997854,"03:43 AM, October 18 2018",Delivered,COD,Zomato,₹129,,,,,,,
107,1242639015,"03:12 AM, October 18 2018",Delivered,COD,Zomato,₹190,,,,,,,
108,1346082036,"02:20 AM, October 18 2018",Delivered,COD,Zomato,₹164,,,,,,,
109,1457223432,"01:45 AM, October 18 2018",rejected,COD,Zomato,₹744,Merchant agreed cancellation,,,,,,
110,1377389738,"01:40 AM, October 18 2018",Delivered,COD,Zomato,₹130,,,,,,,
111,1691155017,"01:12 AM, October 18 2018",Delivered,COD,Zomato,₹372,,,,,,,
112,1687621018,"01:04 AM, October 18 2018",Delivered,COD,Zomato,₹184,,,,,,,
113,1202791111,"12:59 AM, October 18 2018",Delivered,COD,Zomato,₹150,,,,,,,
114,1586800896,"12:25 AM, October 18 2018",Delivered,COD,Zomato,₹160,,,,,,,
115,1566785022,"12:12 AM, October 18 2018",Delivered,COD,Zomato,₹200,,,,,,,
116,1321230064,"12:09 AM, October 18 2018",Delivered,COD,Zomato,₹150,,,,,,,
117,1552486953,"11:17 PM, October 17 2018",Rejected,COD,Zomato,₹180,Food not delivered,,,,,,
118,1373576479,"03:56 AM, October 17 2018",Delivered,COD,Zomato,₹165,,,,,,,
119,1655722180,"03:44 AM, October 17 2018",Delivered,COD,Zomato,₹160,,,,,,,
120,1107634548,"03:22 AM, October 17 2018",Rejected,COD,Zomato,₹170,Customer non-responsive | 60% of order amount will be refunded,,,,,,
121,1176059747,"03:16 AM, October 17 2018",Rejected,COD,Zomato,₹164,Customer non-responsive | 60% of order amount will be refunded,,,,,,
122,1405536875,"02:23 AM, October 17 2018",Delivered,COD,Zomato,₹260,,,,,,,
123,1625280094,"02:22 AM, October 17 2018",Delivered,COD,Zomato,₹405,,,,,,,
124,1036369007,"02:18 AM, October 17 2018",Delivered,COD,Zomato,₹200,,,,,,,
125,1475140948,"02:02 AM, October 17 2018",Delivered,COD,Zomato,₹135,,,,,,,
126,1266086675,"02:00 AM, October 17 2018",Delivered,COD,Zomato,₹230,,,,,,,
127,1352830560,"01:25 AM, October 17 2018",Rejected,COD,Zomato,₹180,Food not delivered,,,,,,
128,1313119584,"01:08 AM, October 17 2018",Delivered,COD,Zomato,₹147,,,,,,,
129,1062355457,"01:04 AM, October 17 2018",Delivered,COD,Zomato,₹150,,,,,,,
130,1443821964,"02:41 AM, October 16 2018",Delivered,COD,Zomato,₹140,,,,,,,
131,1406715788,"02:33 AM, October 16 2018",Delivered,Online,Zomato,₹214,,,,,,,
132,1675051177,"01:37 AM, October 16 2018",Delivered,Online,Zomato,₹148,,,,,,,
133,1051077839,"03:10 AM, October 15 2018",Delivered,Online,Zomato,₹332,,,,,,,
134,1421235230,"02:41 AM, October 15 2018",Delivered,Online,Zomato,₹213,,,,,,,
135,1162449905,"01:35 AM, October 15 2018",Delivered,Online,Zomato,₹390,,,,,,,
136,1170816777,"01:25 AM, October 15 2018",Delivered,COD,Zomato,₹310,,,,,,,
137,1637788602,"01:10 AM, October 15 2018",Delivered,Online,Zomato,₹318,,,,,,,
138,1458345146,"01:08 AM, October 15 2018",Delivered,COD,Zomato,₹148,,,,,,,
139,1608142682,"01:05 AM, October 15 2018",Delivered,Online,Zomato,₹144,,,,,,,
140,1117149838,"12:57 AM, October 15 2018",Rejected,COD,Zomato,₹155,Customer non-responsive | 60% of order amount will be refunded,,,,,,
141,1301744918,"12:45 AM, October 15 2018",Delivered,COD,Zomato,₹380,,,,,,,
142,1382856985,"12:32 AM, October 15 2018",Delivered,COD,Zomato,₹140,,,,,,,
143,1459578038,"12:22 AM, October 15 2018",Delivered,Online,Zomato,₹218,,,,,,,
144,1484405304,"12:20 AM, October 15 2018",Delivered,Online,Zomato,₹160,,,,,,,
145,1519007378,"12:04 AM, October 15 2018",Delivered,COD,Zomato,₹160,,,,,,,
146,1058793424,"02:43 AM, October 14 2018",Delivered,Online,Zomato,₹166,,,,,,,
147,1116420612,"02:41 AM, October 14 2018",Delivered,Online,Zomato,₹135,,,,,,,
148,1607192171,"02:36 AM, October 14 2018",Delivered,Online,Zomato,₹310,,,,,,,
149,1537625809,"01:26 AM, October 14 2018",Delivered,COD,Zomato,₹150,,,,,,,
150,1349291793,"01:22 AM, October 14 2018",Delivered,COD,Zomato,₹361,,,,,,,
151,1499340531,"12:57 AM, October 14 2018",Rejected,COD,Zomato,₹130,Customer non-responsive | 60% of order amount will be refunded,,,,,,
152,1660734690,"12:52 AM, October 14 2018",Rejected,COD,Zomato,₹290,Customer non-responsive | 60% of order amount will be refunded,,,,,,
153,1431870333,"12:41 AM, October 14 2018",Delivered,Online,Zomato,₹185,,,,,,,
154,1439075688,"12:15 AM, October 14 2018",Delivered,Online,Zomato,₹302,,,,,,,
155,1339882766,"12:11 AM, October 14 2018",Delivered,Online,Zomato,₹256,,,,,,,
156,1134293769,"12:08 AM, October 14 2018",Delivered,Online,Zomato,₹232,,,,,,,
157,1664508053,"11:47 PM, October 13 2018",Delivered,Online,Zomato,₹130,,,,,,,
158,1607629373,"03:55 AM, October 13 2018",Delivered,Online,Zomato,₹130,,,,,,,
